name,weight_kg,base_total,capture_rate
Leavanny,20.5,500,45
Venipede,5.3,260,255
Whirlipede,58.5,360,120
Scolipede,200.5,485,45
Cottonee,0.6,280,190
Whimsicott,6.6,480,75
Petilil,6.6,280,190
Lilligant,16.3,480,75
Basculin,18.0,460,25
Sandile,15.2,292,180
Krokorok,33.4,351,90
Krookodile,96.3,519,45
Darumaka,37.5,315,120
Darmanitan,92.9,540,60
Maractus,28.0,461,255
Dwebble,14.5,325,190
Crustle,200.0,485,75
Scraggy,11.8,348,180
Scrafty,30.0,488,90
Sigilyph,14.0,490,45
Yamask,1.5,303,190
Cofagrigus,76.5,483,90
Tirtouga,16.5,355,45
Carracosta,81.0,495,45
Archen,9.5,401,45
Archeops,32.0,567,45
Trubbish,31.0,329,190
Garbodor,107.3,474,60
Zorua,12.5,330,75
Zoroark,81.1,510,45
Minccino,5.8,300,255
Cinccino,7.5,470,60
Gothita,5.8,290,200
Gothorita,18.0,390,100
Gothitelle,44.0,490,50
Solosis,1.0,290,200
Duosion,8.0,370,100
Reuniclus,20.1,490,50
Ducklett,5.5,305,190
Swanna,24.2,473,45
Vanillite,5.7,305,255
Vanillish,41.0,395,120
Vanilluxe,57.5,535,45
Deerling,19.5,335,190
Sawsbuck,92.5,475,75
Emolga,5.0,428,200
Karrablast,5.9,315,200
Escavalier,33.0,495,75
Foongus,1.0,294,190
Amoonguss,10.5,464,75
Frillish,33.0,335,190
Jellicent,135.0,480,60
Alomomola,31.6,470,75
Joltik,0.6,319,190
Galvantula,14.3,472,75
Ferroseed,18.8,305,255
Ferrothorn,110.0,489,90
Klink,21.0,300,130
Klang,51.0,440,60
Klinklang,81.0,520,30
Tynamo,0.3,275,190
Eelektrik,22.0,405,60
Eelektross,80.5,515,30
Elgyem,9.0,335,255
Beheeyem,34.5,485,90
Litwick,3.1,275,190
Lampent,13.0,370,90
Chandelure,34.3,520,45
Axew,18.0,320,75
Fraxure,36.0,410,60
Haxorus,105.5,540,45
Cubchoo,8.5,305,120
Beartic,260.0,505,60
Cryogonal,148.0,515,25
Shelmet,7.7,305,200
Accelgor,25.3,495,75
Stunfisk,11.0,471,75
Mienfoo,20.0,350,180
Mienshao,35.5,510,45
Druddigon,139.0,485,45
Golett,92.0,303,190
Golurk,330.0,483,90
Pawniard,10.2,340,120
Bisharp,70.0,490,45
Bouffalant,94.6,490,45
Rufflet,10.5,350,190
Braviary,41.0,510,60
Vullaby,9.0,370,190
Mandibuzz,39.5,510,60
Heatmor,58.0,484,90
Durant,33.0,484,90
Deino,17.3,300,45
Zweilous,50.0,420,45
Hydreigon,160.0,600,45
Larvesta,28.8,360,45
Volcarona,46.0,550,15
Cobalion,250.0,580,3
Terrakion,260.0,580,3
Virizion,200.0,580,3
Tornadus,63.0,580,3
Thundurus,61.0,580,3
Reshiram,330.0,680,3
Zekrom,345.0,680,3
Landorus,68.0,600,3
Kyurem,325.0,700,3
Keldeo,48.5,580,3
Meloetta,6.5,600,3
Genesect,82.5,600,3
Chespin,9.0,313,45
Quilladin,29.0,405,45
Chesnaught,90.0,530,45
Fennekin,9.4,307,45
Braixen,14.5,409,45
Delphox,39.0,534,45
Froakie,7.0,314,45
Frogadier,10.9,405,45
Greninja,40.0,640,45
Bunnelby,5.0,237,255
Diggersby,42.4,423,127
Fletchling,1.7,278,255
Fletchinder,16.0,382,120
Talonflame,24.5,499,45
Scatterbug,2.5,200,255
Spewpa,8.4,213,120
Vivillon,17.0,411,45
Litleo,13.5,369,220
Pyroar,81.5,507,65
Flabébé,0.1,303,225
Floette,0.9,551,120
Florges,10.0,552,45
Skiddo,31.0,350,200
Gogoat,91.0,531,45
Pancham,8.0,348,220
Pangoro,136.0,495,65
Furfrou,28.0,472,160
Espurr,3.5,355,190
Meowstic,8.5,466,75
Honedge,2.0,325,180
Doublade,4.5,448,90
Aegislash,53.0,520,45
Spritzee,0.5,341,200
Aromatisse,15.5,462,140
Swirlix,3.5,341,200
Slurpuff,5.0,480,140
Inkay,3.5,288,190
Malamar,47.0,482,80
Binacle,31.0,306,120
Barbaracle,96.0,500,45
Skrelp,7.3,320,225
Dragalge,81.5,494,55
Clauncher,8.3,330,225
Clawitzer,35.3,500,55
Helioptile,6.0,289,190
Heliolisk,21.0,481,75
Tyrunt,26.0,362,45
Tyrantrum,270.0,521,45
Amaura,25.2,362,45
Aurorus,225.0,521,45
Sylveon,23.5,525,45
Hawlucha,21.5,500,100
Dedenne,2.2,431,180
Carbink,5.7,500,60
Goomy,2.8,300,45
Sliggoo,17.5,452,45
Goodra,150.5,600,45
Klefki,3.0,470,75
Phantump,7.0,309,120
Trevenant,71.0,474,60
Pumpkaboo,15.0,335,120
Gourgeist,39.0,494,60
Bergmite,99.5,304,190
Avalugg,505.0,514,55
Noibat,8.0,245,190
Noivern,85.0,535,45
Xerneas,215.0,680,45
Yveltal,203.0,680,45
Zygarde,284.6,708,3
Diancie,8.8,700,3
Volcanion,195.0,600,3
Rowlet,1.5,320,45
Dartrix,16.0,420,45
Decidueye,36.6,530,45
Litten,4.3,320,45
Torracat,25.0,420,45
Incineroar,83.0,530,45
Popplio,7.5,320,45
Brionne,17.5,420,45
Primarina,44.0,530,45
Pikipek,1.2,265,255
Trumbeak,14.8,355,120
Toucannon,26.0,485,45
Yungoos,6.0,253,255
Gumshoos,14.2,418,127
Grubbin,4.4,300,255
Charjabug,10.5,400,120
Vikavolt,45.0,500,45
Crabrawler,7.0,338,225
Crabominable,180.0,478,60
Oricorio,3.4,476,45
Cutiefly,0.2,304,190
Ribombee,0.5,464,75
Rockruff,9.2,280,190
Wishiwashi,0.3,620,60
Mareanie,8.0,305,190
Toxapex,14.5,495,75
Mudbray,110.0,385,190
Mudsdale,920.0,500,60
Dewpider,4.0,269,200
Araquanid,82.0,454,100
Fomantis,1.5,250,190
Lurantis,18.5,480,75
Morelull,1.5,285,190
Shiinotic,11.5,405,75
Salandit,4.8,320,120
Salazzle,22.2,480,45
Stufful,6.8,340,140
Bewear,135.0,500,70
Bounsweet,3.2,210,235
Steenee,8.2,290,120
Tsareena,21.4,510,45
Comfey,0.3,485,60
Oranguru,76.0,490,45
Passimian,82.8,490,45
Wimpod,12.0,230,90
Golisopod,108.0,530,45
Sandygast,70.0,320,140
Palossand,250.0,480,60
Pyukumuku,1.2,410,60
Type: Null,120.5,534,3
Silvally,100.5,570,3
Minior,40.0,500,30 (Meteorite)255 (Core)
Komala,19.9,480,45
Turtonator,212.0,485,70
Togedemaru,3.3,435,180
Mimikyu,0.7,476,45
Bruxish,19.0,475,80
Drampa,185.0,485,70
Dhelmise,210.0,517,25
Jangmo-o,29.7,300,45
Hakamo-o,47.0,420,45
Kommo-o,78.2,600,45
Tapu Koko,20.5,570,3
Tapu Lele,18.6,570,3
Tapu Bulu,45.5,570,3
Tapu Fini,21.2,570,3
Cosmog,0.1,200,45
Cosmoem,999.9,400,45
Solgaleo,230.0,680,45
Lunala,120.0,680,45
Nihilego,55.5,570,45
Buzzwole,333.6,570,25
Pheromosa,25.0,570,255
Xurkitree,100.0,570,30
Celesteela,999.9,570,25
Kartana,0.1,570,255
Guzzlord,888.0,570,15
Necrozma,230.0,600,3
Magearna,80.5,600,3
